Trial,Model,Train,Test
0,RMSprop,0.8578431372549019,0.8846153846153846
0,Adam,0.8872549019607843,0.9230769230769231
0,AdamW,0.9166666666666666,0.8846153846153846
0,Adagrad,0.9166666666666666,0.8846153846153846
0,Adadelta,0.9166666666666666,0.8846153846153846
0,SGD,0.9215686274509803,0.8846153846153846
0,Nadam,0.9509803921568627,0.8846153846153846
0,Adafactor,0.9362745098039216,0.9038461538461539
0,Adamax,0.9607843137254902,0.9038461538461539
0,LossScaleOptimizer(Adam),0.9607843137254902,0.9038461538461539
1,RMSprop,0.9607843137254902,0.8653846153846154
1,Adam,0.9705882352941176,0.9038461538461539
1,AdamW,0.9656862745098039,0.9038461538461539
1,Adagrad,0.9803921568627451,0.9423076923076923
1,Adadelta,0.9803921568627451,0.9423076923076923
1,SGD,0.9852941176470589,0.9423076923076923
1,Nadam,0.9803921568627451,0.9615384615384616
1,Adafactor,0.9901960784313726,0.9230769230769231
1,Adamax,0.9950980392156863,0.9230769230769231
1,LossScaleOptimizer(Adam),0.9950980392156863,0.9230769230769231
2,RMSprop,0.9950980392156863,0.9230769230769231
2,Adam,0.9950980392156863,0.9038461538461539
2,AdamW,1.0,0.9038461538461539
2,Adagrad,1.0,0.9230769230769231
2,Adadelta,1.0,0.9230769230769231
2,SGD,1.0,0.9230769230769231
2,Nadam,0.9901960784313726,0.8846153846153846
2,Adafactor,1.0,0.8846153846153846
2,Adamax,1.0,0.9038461538461539
2,LossScaleOptimizer(Adam),1.0,0.9038461538461539
3,RMSprop,1.0,0.8846153846153846
3,Adam,0.9950980392156863,0.8846153846153846
3,AdamW,1.0,0.8653846153846154
3,Adagrad,1.0,0.8846153846153846
3,Adadelta,1.0,0.8846153846153846
3,SGD,1.0,0.8846153846153846
3,Nadam,1.0,0.8653846153846154
3,Adafactor,1.0,0.8653846153846154
3,Adamax,1.0,0.8461538461538461
3,LossScaleOptimizer(Adam),1.0,0.8653846153846154
4,RMSprop,1.0,0.8653846153846154
4,Adam,1.0,0.8461538461538461
4,AdamW,1.0,0.8653846153846154
4,Adagrad,1.0,0.8653846153846154
4,Adadelta,1.0,0.8653846153846154
4,SGD,1.0,0.8461538461538461
4,Nadam,1.0,0.8461538461538461
4,Adafactor,1.0,0.8461538461538461
4,Adamax,1.0,0.8461538461538461
4,LossScaleOptimizer(Adam),1.0,0.8653846153846154
5,RMSprop,1.0,0.8653846153846154
5,Adam,1.0,0.8269230769230769
5,AdamW,1.0,0.8653846153846154
5,Adagrad,1.0,0.8461538461538461
5,Adadelta,1.0,0.8461538461538461
5,SGD,1.0,0.8461538461538461
5,Nadam,1.0,0.8461538461538461
5,Adafactor,1.0,0.8076923076923077
5,Adamax,1.0,0.8076923076923077
5,LossScaleOptimizer(Adam),1.0,0.8461538461538461
6,RMSprop,1.0,0.8653846153846154
6,Adam,1.0,0.8076923076923077
6,AdamW,1.0,0.8269230769230769
6,Adagrad,1.0,0.8269230769230769
6,Adadelta,1.0,0.8269230769230769
6,SGD,1.0,0.8269230769230769
6,Nadam,1.0,0.8461538461538461
6,Adafactor,1.0,0.8269230769230769
6,Adamax,1.0,0.8269230769230769
6,LossScaleOptimizer(Adam),1.0,0.8461538461538461
7,RMSprop,1.0,0.8076923076923077
7,Adam,1.0,0.8461538461538461
7,AdamW,1.0,0.8461538461538461
7,Adagrad,1.0,0.8461538461538461
7,Adadelta,1.0,0.8461538461538461
7,SGD,1.0,0.8653846153846154
7,Nadam,1.0,0.8846153846153846
7,Adafactor,1.0,0.8461538461538461
7,Adamax,1.0,0.8653846153846154
7,LossScaleOptimizer(Adam),1.0,0.8269230769230769
8,RMSprop,0.9950980392156863,0.7692307692307693
8,Adam,1.0,0.8461538461538461
8,AdamW,1.0,0.8269230769230769
8,Adagrad,1.0,0.8269230769230769
8,Adadelta,1.0,0.8269230769230769
8,SGD,1.0,0.8461538461538461
8,Nadam,1.0,0.8461538461538461
8,Adafactor,1.0,0.8461538461538461
8,Adamax,1.0,0.8461538461538461
8,LossScaleOptimizer(Adam),1.0,0.8653846153846154
9,RMSprop,1.0,0.8461538461538461
9,Adam,1.0,0.8461538461538461
9,AdamW,0.9901960784313726,0.8653846153846154
9,Adagrad,1.0,0.8653846153846154
9,Adadelta,1.0,0.8653846153846154
9,SGD,1.0,0.8846153846153846
9,Nadam,1.0,0.8653846153846154
9,Adafactor,1.0,0.8846153846153846
9,Adamax,1.0,0.8653846153846154
9,LossScaleOptimizer(Adam),1.0,0.8461538461538461
