Trial,Model,Train,Test
0,RMSprop,0.7990196078431373,0.6538461538461539
0,Adam,0.803921568627451,0.7115384615384616
0,AdamW,0.803921568627451,0.7115384615384616
1,RMSprop,0.803921568627451,0.6346153846153846
1,Adam,0.803921568627451,0.6730769230769231
1,AdamW,0.803921568627451,0.6730769230769231
2,RMSprop,0.803921568627451,0.6346153846153846
2,Adam,0.803921568627451,0.5961538461538461
2,AdamW,0.803921568627451,0.5961538461538461
3,RMSprop,0.803921568627451,0.6730769230769231
3,Adam,0.803921568627451,0.6346153846153846
3,AdamW,0.803921568627451,0.6538461538461539
4,RMSprop,0.803921568627451,0.6346153846153846
4,Adam,0.803921568627451,0.6538461538461539
4,AdamW,0.803921568627451,0.6346153846153846
5,RMSprop,0.803921568627451,0.6346153846153846
5,Adam,0.803921568627451,0.6346153846153846
5,AdamW,0.803921568627451,0.6730769230769231
6,RMSprop,0.803921568627451,0.5961538461538461
6,Adam,0.803921568627451,0.6730769230769231
6,AdamW,0.803921568627451,0.6538461538461539
7,RMSprop,0.803921568627451,0.6730769230769231
7,Adam,0.803921568627451,0.6730769230769231
7,AdamW,0.803921568627451,0.6346153846153846
8,RMSprop,0.803921568627451,0.6730769230769231
8,Adam,0.803921568627451,0.5961538461538461
8,AdamW,0.803921568627451,0.6346153846153846
9,RMSprop,0.803921568627451,0.6730769230769231
9,Adam,0.803921568627451,0.7115384615384616
9,AdamW,0.803921568627451,0.5961538461538461
