newcatc,newcat,velocity,weightpercentw,diametermm,thicknessmm,heightin,craterdiameterfromouteredgesmm,whenbreakupstartsframe,breakuplocation,inflectionpoint,retraction,category,comments,craterdiameterfromouteredgesmmno,rownum,blocknum,pcat1,pcat2,pcat3,pcat4,pcat5,pcatmax,rho,sigma,nu,pi1,pi2,pi3,pi4,pi5,pi6,lpi1,lpi2,lpi3,lpi4,lpi5,_clus_2,splash,predsplash,issplash,newcat1,aaa1,aaa2,aaa3,aaa4,aaa5
Splash,Splash,6.3534391,0.1,0.025,0.0015,81,101.5,105,B,N,N,BUP,BAD - Half of Droplet Off Surface,121.8,14,14,8.07E-08,2.89E-06,0.00031509,0.00060012,0.99908181,0.99908181,1000.2,13,0.23,3105.712433,1.54E+02,0.553040643,0.06,40.89800163,681.6333606,8.0407984,19.789815,-0.59252375,-2.8134107,3.7108812,2,1,1,1,Splash,0.03134638,0.06470616,0.23524659,0.08399532,0.58470555
Splash,Splash,6.3534391,0.1,0.025,0.003,81,113.3,146,M,N,N,SD,BAD - Half of Droplet Off Surface,136,15,15,4.70E-07,0.00001684,0.00183155,0.00347301,0.99467813,0.99467813,1000.2,13,0.23,3105.712433,1.54E+02,2.212162571,0.12,80.73286147,672.7738456,8.0407984,19.789815,0.79377061,-2.1202635,4.3909457,2,1,1,1,Splash,0.00822963,0.0182945,0.08619548,0.04134602,0.84593438
Splash,Splash,6.3534391,0.1,0.025,0.004,81,109.8,587,M,Y,N,SD,,131.7,16,16,1.52E-06,0.0000545,0.00590261,0.01106138,0.98297999,0.98297999,1000.2,13,0.23,3105.712433,1.54E+02,3.932733459,0.16,106.7190959,666.9943491,8.0407984,19.789815,1.3691348,-1.8325814,4.6700002,2,1,1,1,Splash,0.00340344,0.00768581,0.03859684,0.02004205,0.93027186
Splash,Splash,6.3534391,0.15,0.01,0.0005,81,33.6,54,T,N,N,DIS,,40.3,17,1,1.73E-06,0.00006208,0.00671786,0.01255952,0.98065881,0.98065881,1000.3,33,0.49,1223.584796,1.37E+01,0.034370991,0.05,6.450856269,129.0171254,7.1092402,21.041303,-3.3708422,-2.9957322,1.863913,5,1,0.9997456,1,Splash,0.09501247,0.16134636,0.36010845,0.08089632,0.30263641
Splash,Splash,6.3534391,0.15,0.01,0.0015,81,39.5,83,N,N,N,DIS,,47.4,18,2,5.61E-06,0.00020089,0.02141241,0.03837788,0.94000321,0.94000321,1000.3,33,0.49,1223.584796,1.37E+01,0.309338921,0.15,19.15064078,127.6709385,7.1092402,21.041303,-1.1736177,-1.89712,2.9520362,5,1,0.9836497,1,Splash,0.06369991,0.11890162,0.32758217,0.08872858,0.40108773
Broken Sheet,Broken Sheet,6.3534391,0.15,0.01,0.003,81,44.8,129,M,N,Sheet,Stick,,53.8,19,3,0.00003264,0.00116831,0.11277687,0.15693439,0.72908779,0.72908779,1000.3,33,0.49,1223.584796,1.37E+01,1.237355685,0.3,37.71105611,125.7035204,7.1092402,21.041303,0.21267665,-1.2039728,3.6296534,5,0,0.0679247,0,Broken or Intact Sheet,0.03483088,0.0711123,0.24993357,0.08610796,0.55801529
Intact Sheet,Intact Sheet,6.3534391,0.15,0.01,0.004,81,47.9,N,N,N,N,Stick,Castle,57.5,20,4,0.00010562,0.00377047,0.29006012,0.25203259,0.4540312,0.4540312,1000.3,33,0.49,1223.584796,1.37E+01,2.19974344,0.4,49.77010097,124.4252524,7.1092402,21.041303,0.78804088,-0.91629066,3.9071145,5,0,0.0006122,0,Broken or Intact Sheet,0.02334501,0.04943039,0.19513368,0.07619397,0.65589696
Splash,Splash,6.3534391,0.15,0.015,0.0005,81,46,55,T,N,N,DIS,,55.2,21,5,4.91E-07,0.0000176,0.00191363,0.00362778,0.9944405,0.9944405,1000.3,33,0.49,1223.584796,3.09E+01,0.034370991,0.033333333,6.450856269,193.5256881,7.1092402,20.230373,-3.3708422,-3.4011973,1.863913,1,1,0.9999992,1,Splash,0.09501247,0.16134636,0.36010845,0.08089632,0.30263641
Splash,Splash,6.3534391,0.15,0.015,0.0015,81,51.9,84,M,N,N,DIS,"Droplet on edge, Bad test",62.3,22,6,1.59E-06,0.00005695,0.00616598,0.01154614,0.98222934,0.98222934,1000.3,33,0.49,1223.584796,3.09E+01,0.309338921,0.1,19.15064078,191.5064078,7.1092402,20.230373,-1.1736177,-2.3025851,2.9520362,1,1,0.999947,1,Splash,0.06369991,0.11890162,0.32758217,0.08872858,0.40108773
Splash,Splash,6.3534391,0.15,0.015,0.003,81,56.7,91,M,N,N,SD,,68,23,7,9.25E-06,0.00033146,0.03484071,0.06010913,0.90470945,0.90470945,1000.3,33,0.49,1223.584796,3.09E+01,1.237355685,0.2,37.71105611,188.5552805,7.1092402,20.230373,0.21267665,-1.6094379,3.6296534,1,1,0.9535996,1,Splash,0.03483088,0.0711123,0.24993357,0.08610796,0.55801529
Splash,Splash,6.3534391,0.15,0.015,0.004,81,60.8,142,M,N,N,Ring,Droplet on Edge,72.9,24,8,0.00002994,0.00107184,0.10444799,0.14865936,0.74579087,0.74579087,1000.3,33,0.49,1223.584796,3.09E+01,2.19974344,0.266666667,49.77010097,186.6378786,7.1092402,20.230373,0.78804088,-1.3217558,3.9071145,1,1,0.138888,0,Splash,0.02334501,0.04943039,0.19513368,0.07619397,0.65589696
