newcatc,newcat,velocity,weightpercentw,diametermm,thicknessmm,heightin,craterdiameterfromouteredgesmm,whenbreakupstartsframe,breakuplocation,inflectionpoint,retraction,category,comments,craterdiameterfromouteredgesmmno,rownum,blocknum,pcat1,pcat2,pcat3,pcat4,pcat5,pcatmax,rho,sigma_y,nu,sigma_i,sigma_f,sigma_v,pi1,pi2,pi3,pi4,pi5,pi6,pi7,pi8,,,,_clus_2,splash,predsplash,issplash,newcat1,aaa1,aaa2,aaa3,aaa4,aaa5
Intact Sheet,Intact Sheet,6.35,1,0.02,0.00,81,37.90,N,N,N,Y,Stuck,,45.50,53,5,0.00,0.04,0.78,0.11,0.07,0.78,"1,002",106,2.10,"40,446.92","26,790.44","26,684.44",63877.5277238280000000000000000,63373.0476442054000000000000000,381.5747242849400000000000000,5.4189795918367300000000000,0.0060210884353741500000000,0.0000000001629746305656510,3.5284670017362200000000000,5.5360976160885800000000000,,,,3,0,0.22,0,Broken or Intact Sheet,0.11,0.18,0.37,0.08,0.27
Intact Sheet,Intact Sheet,6.35,1,0.02,0.00,81,47.20,N,N,N,N,Stuck,,56.60,54,6,0.00,0.12,0.81,0.04,0.02,0.81,"1,002",106,2.10,"40,446.92","9,000.81","8,894.81",7210.2764314525900000000000000,7041.4497382450400000000000000,381.5747242849400000000000000,5.4189795918367300000000000,0.0541897959183673000000000,0.0000000043314912741039100,10.5854010052087000000000000,1.8453658720295300000000000,,,,3,0,0.10,0,Broken or Intact Sheet,0.10,0.17,0.36,0.08,0.29
Intact Sheet,Intact Sheet,6.35,1,0.02,0.00,81,45.40,N,N,N,N,Stuck,,54.50,55,7,0.02,0.43,0.54,0.01,0.00,0.54,"1,002",106,2.10,"40,446.92","4,553.41","4,447.41",1845.2757811650300000000000000,1760.3624345612600000000000000,381.5747242849400000000000000,5.4189795918367300000000000,0.2167591836734690000000000,0.0000000338499532324603000,21.1708020104173000000000000,0.9226829360147630000000000,,,,3,0,0.02,0,Broken or Intact Sheet,0.09,0.15,0.36,0.08,0.32
Intact Sheet,Intact Sheet,6.35,1,0.02,0.00,81,49.60,N,N,N,N,Stuck,,59.50,56,8,0.07,0.66,0.27,0.00,0.00,0.66,"1,002",106,2.10,"40,446.92","3,441.56","3,335.56",1054.1388793935400000000000000,990.2038694407090000000000000,381.5747242849400000000000000,5.4189795918367300000000000,0.3853496598639460000000000,0.0000000790060337266168000,28.2277360138898000000000000,0.6920122020110720000000000,,,,3,0,0.01,0,Broken or Intact Sheet,0.08,0.14,0.35,0.08,0.34
Broken Sheet,Broken Sheet,6.35,1,0.02,0.00,81,58.80,N,N,N,Y,Stuck,Sheet retraction,70.50,57,9,0.00,0.01,0.56,0.22,0.21,0.56,"1,002",106,2.10,"40,446.92","26,790.44","26,684.44",63877.5277238280000000000000000,63373.0476442054000000000000000,381.5747242849400000000000000,9.6337414965986400000000000,0.0060210884353741500000000,0.0000000001629746305656510,4.7046226689816300000000000,4.1520732120664300000000000,,,,3,0,0.47,0,Broken or Intact Sheet,0.11,0.18,0.37,0.08,0.27
Intact Sheet,Intact Sheet,6.35,1,0.02,0.00,81,68.40,N,N,N,Y,Stuck,Sheet retraction,82.10,58,10,0.00,0.04,0.77,0.11,0.07,0.77,"1,002",106,2.10,"40,446.92","9,000.81","8,894.81",7210.2764314525900000000000000,7041.4497382450400000000000000,381.5747242849400000000000000,9.6337414965986400000000000,0.0541897959183673000000000,0.0000000043314912741039100,14.1138680069449000000000000,1.3840244040221400000000000,,,,3,0,0.26,0,Broken or Intact Sheet,0.10,0.17,0.36,0.08,0.29
Intact Sheet,Intact Sheet,6.35,1,0.02,0.00,81,61.90,N,N,N,N,Stuck,,74.30,59,11,0.01,0.18,0.77,0.02,0.01,0.77,"1,002",106,2.10,"40,446.92","4,553.41","4,447.41",1845.2757811650300000000000000,1760.3624345612600000000000000,381.5747242849400000000000000,9.6337414965986400000000000,0.2167591836734690000000000,0.0000000338499532324603000,28.2277360138898000000000000,0.6920122020110720000000000,,,,3,0,0.07,0,Broken or Intact Sheet,0.09,0.15,0.36,0.08,0.32
Intact Sheet,Intact Sheet,6.35,1,0.02,0.00,81,61.90,N,N,N,N,Stuck,,74.30,60,12,0.02,0.41,0.56,0.01,0.00,0.56,"1,002",106,2.10,"40,446.92","3,441.56","3,335.56",1054.1388793935400000000000000,990.2038694407090000000000000,381.5747242849400000000000000,9.6337414965986400000000000,0.3853496598639460000000000,0.0000000790060337266168000,37.6369813518531000000000000,0.5190091515083040000000000,,,,3,0,0.03,0,Broken or Intact Sheet,0.08,0.14,0.35,0.08,0.34
Broken Sheet,Broken Sheet,6.35,1,0.03,0.00,81,77.20,94,M,N,Y,Stick,Sheet retraction,92.60,61,13,0.00,0.00,0.27,0.25,0.48,0.48,"1,002",106,2.10,"40,446.92","26,790.44","26,684.44",63877.5277238280000000000000000,63373.0476442054000000000000000,381.5747242849400000000000000,15.0527210884354000000000000,0.0060210884353741500000000,0.0000000001629746305656510,5.8807783362270400000000000,3.3216585696531500000000000,,,,3,0,0.74,1,Broken or Intact Sheet,0.11,0.18,0.37,0.08,0.27
Intact Sheet,Intact Sheet,6.35,1,0.03,0.00,81,82.60,N,N,Y,Y,Stuck,Sheet retraction,99.10,62,14,0.00,0.01,0.54,0.23,0.22,0.54,"1,002",106,2.10,"40,446.92","9,000.81","8,894.81",7210.2764314525900000000000000,7041.4497382450400000000000000,381.5747242849400000000000000,15.0527210884354000000000000,0.0541897959183673000000000,0.0000000043314912741039100,17.6423350086811000000000000,1.1072195232177200000000000,,,,3,0,0.52,1,Broken or Intact Sheet,0.10,0.17,0.36,0.08,0.29
Intact Sheet,Intact Sheet,6.35,1,0.03,0.00,81,88.70,N,N,Y,N,Stuck,,106.40,63,15,0.00,0.06,0.81,0.08,0.05,0.81,"1,002",106,2.10,"40,446.92","4,553.41","4,447.41",1845.2757811650300000000000000,1760.3624345612600000000000000,381.5747242849400000000000000,15.0527210884354000000000000,0.2167591836734690000000000,0.0000000338499532324603000,35.2846700173622000000000000,0.5536097616088580000000000,,,,3,0,0.19,0,Broken or Intact Sheet,0.09,0.15,0.36,0.08,0.32
Intact Sheet,Intact Sheet,6.35,1,0.03,0.00,81,90.80,N,N,N,N,Stuck,,109,64,16,0.01,0.17,0.78,0.03,0.01,0.78,"1,002",106,2.10,"40,446.92","3,441.56","3,335.56",1054.1388793935400000000000000,990.2038694407090000000000000,381.5747242849400000000000000,15.0527210884354000000000000,0.3853496598639460000000000,0.0000000790060337266168000,47.0462266898163000000000000,0.4152073212066430000000000,,,,3,0,0.07,0,Broken or Intact Sheet,0.08,0.14,0.35,0.08,0.34
Splash,Splash,5.09,0.10,0.01,0.00,52,42.60,84,B,N,N,BUP,,51.10,65,1,0.000009,0.00,0.03,0.06,0.91,0.91,"1,000.20",13,0.23,"25,919.28","2,354.67","2,341.67",32807.5457732573000000000000000,32446.2887055650000000000000000,1993.7907066303400000000000000,24.5795841209830000000000000,0.0614489603024575000000000,0.0000000000848719489384689,54.8762364223317000000000000,0.8136834171627210000000000,,,,4,1,1,1,Splash,0.08,0.15,0.35,0.08,0.34
Splash,Splash,5.09,0.10,0.01,0.00,52,51.80,104,T,N,N,Fall,,62.20,66,2,0.00,0.00,0.10,0.15,0.75,0.75,"1,000.20",13,0.23,"25,919.28",793.56,780.56,3726.2288787379900000000000000,3605.1431895072200000000000000,1993.7907066303400000000000000,24.5795841209830000000000000,0.5530406427221170000000000,0.0000000022417627367598100,164.6287092669950000000000000,0.2712278057209070000000000,,,,4,1,1.00,1,Splash,0.04,0.08,0.27,0.09,0.52
Broken Sheet,Broken Sheet,5.09,0.10,0.01,0.00,52,51.80,N,N,N,Sheet,Fall,,62.20,67,3,0.00,0.01,0.39,0.26,0.34,0.39,"1,000.20",13,0.23,"25,919.28",403.28,390.28,962.3286419921900000000000000,901.2857973768050000000000000,1993.7907066303400000000000000,24.5795841209830000000000000,2.2121625708884700000000000,0.0000000173606410211386000,329.2574185339900000000000000,0.1356139028604540000000000,,,,4,0,0.35,0,Broken or Intact Sheet,0.01,0.03,0.14,0.06,0.76
Broken Sheet,Broken Sheet,5.09,0.10,0.01,0.00,52,55.90,136,T,N,Sheet,Stick,Sheet Falls on center,67.10,68,4,0.00,0.02,0.66,0.18,0.14,0.66,"1,000.20",13,0.23,"25,919.28",305.71,292.71,553.0053944859910000000000000,506.9732610244530000000000000,1993.7907066303400000000000000,24.5795841209830000000000000,3.9327334593572800000000000,0.0000000402808417773568000,439.0098913786530000000000000,0.1017104271453400000000000,,,,4,0,0.00,0,Broken or Intact Sheet,0.01,0.02,0.08,0.04,0.86
Splash,Splash,5.09,0.10,0.02,0.00,52,56.50,95,B,N,N,BUP,,67.80,69,5,0.000003,0.00,0.01,0.02,0.97,0.97,"1,000.20",13,0.23,"25,919.28","2,354.67","2,341.67",32807.5457732573000000000000000,32446.2887055650000000000000000,1993.7907066303400000000000000,55.3040642722117000000000000,0.0614489603024575000000000,0.0000000000848719489384689,82.3143546334975000000000000,0.5424556114418140000000000,,,,5,1,1,1,Splash,0.08,0.15,0.35,0.08,0.34
Splash,Splash,5.09,0.10,0.02,0.00,52,48.50,108,B,N,N,Fall,,58.20,70,6,0.000008,0.00,0.03,0.05,0.91,0.91,"1,000.20",13,0.23,"25,919.28",793.56,780.56,3726.2288787379900000000000000,3605.1431895072200000000000000,1993.7907066303400000000000000,55.3040642722117000000000000,0.5530406427221170000000000,0.0000000022417627367598100,246.9430639004920000000000000,0.1808185371472710000000000,,,,5,1,1,1,Splash,0.04,0.08,0.27,0.09,0.52
Splash,Splash,5.09,0.10,0.02,0.00,52,71.10,178,T,N,N,Fall,,85.30,71,7,0.00,0.00,0.16,0.19,0.65,0.65,"1,000.20",13,0.23,"25,919.28",403.28,390.28,962.3286419921900000000000000,901.2857973768050000000000000,1993.7907066303400000000000000,55.3040642722117000000000000,2.2121625708884700000000000,0.0000000173606410211386000,493.8861278009850000000000000,0.0904092685736357000000000,,,,5,1,1.00,1,Splash,0.01,0.03,0.14,0.06,0.76
Splash,Splash,5.09,0.10,0.02,0.00,52,74.50,168,M,Y,Sheet,Stick,Sheet Falls on center,89.40,72,8,0.00,0.01,0.37,0.26,0.36,0.37,"1,000.20",13,0.23,"25,919.28",305.71,292.71,553.0053944859910000000000000,506.9732610244530000000000000,1993.7907066303400000000000000,55.3040642722117000000000000,3.9327334593572800000000000,0.0000000402808417773568000,658.5148370679800000000000000,0.0678069514302268000000000,,,,5,1,0.68,1,Splash,0.01,0.02,0.08,0.04,0.86
Splash,Splash,5.09,0.10,0.02,0.00,52,68.20,106,B,N,N,BUP,,81.80,73,9,0.000001,0.00,0.00,0.01,0.99,0.99,"1,000.20",13,0.23,"25,919.28","2,354.67","2,341.67",32807.5457732573000000000000000,32446.2887055650000000000000000,1993.7907066303400000000000000,98.3183364839320000000000000,0.0614489603024575000000000,0.0000000000848719489384689,109.7524728446630000000000000,0.4068417085813610000000000,,,,1,1,1,1,Splash,0.08,0.15,0.35,0.08,0.34
Splash,Splash,5.09,0.10,0.02,0.00,52,69.30,117,M,Y,N,SD,,83.20,74,10,0.000002,0.00,0.01,0.02,0.97,0.97,"1,000.20",13,0.23,"25,919.28",793.56,780.56,3726.2288787379900000000000000,3605.1431895072200000000000000,1993.7907066303400000000000000,98.3183364839320000000000000,0.5530406427221170000000000,0.0000000022417627367598100,329.2574185339900000000000000,0.1356139028604540000000000,,,,1,1,1,1,Splash,0.04,0.08,0.27,0.09,0.52
Splash,Splash,5.09,0.10,0.02,0.00,52,92,107,M,N,N,SD,,110.40,75,11,0.00,0.00,0.05,0.08,0.87,0.87,"1,000.20",13,0.23,"25,919.28",403.28,390.28,962.3286419921900000000000000,901.2857973768050000000000000,1993.7907066303400000000000000,98.3183364839320000000000000,2.2121625708884700000000000,0.0000000173606410211386000,658.5148370679800000000000000,0.0678069514302268000000000,,,,1,1,1,1,Splash,0.01,0.03,0.14,0.06,0.76
Splash,Splash,5.09,0.10,0.02,0.00,52,96.70,123,M,Y,Sheet,Stick,Sheet Falls on center,116,76,12,0.00,0.00,0.15,0.19,0.67,0.67,"1,000.20",13,0.23,"25,919.28",305.71,292.71,553.0053944859910000000000000,506.9732610244530000000000000,1993.7907066303400000000000000,98.3183364839320000000000000,3.9327334593572800000000000,0.0000000402808417773568000,878.0197827573070000000000000,0.0508552135726701000000000,,,,1,1,1.00,1,Splash,0.01,0.02,0.08,0.04,0.86
Splash,Splash,5.09,0.10,0.03,0.00,52,88.20,113,B,N,N,BUP,,105.80,77,13,0.000000,0.000007,0.00,0.00,1.00,1.00,"1,000.20",13,0.23,"25,919.28","2,354.67","2,341.67",32807.5457732573000000000000000,32446.2887055650000000000000000,1993.7907066303400000000000000,153.6224007561440000000000000,0.0614489603024575000000000,0.0000000000848719489384689,137.1905910558290000000000000,0.3254733668650890000000000,,,,2,1,1,1,Splash,0.08,0.15,0.35,0.08,0.34
Splash,Splash,5.09,0.10,0.03,0.00,52,85.70,157,B,N,N,BUP,,102.80,78,14,0.000001,0.00,0.00,0.00,0.99,0.99,"1,000.20",13,0.23,"25,919.28",793.56,780.56,3726.2288787379900000000000000,3605.1431895072200000000000000,1993.7907066303400000000000000,153.6224007561440000000000000,0.5530406427221170000000000,0.0000000022417627367598100,411.5717731674870000000000000,0.1084911222883630000000000,,,,2,1,1,1,Splash,0.04,0.08,0.27,0.09,0.52
Splash,Splash,5.09,0.10,0.03,0.00,52,108.90,174,M,Y,N,SD,,130.70,79,15,0.000004,0.00,0.01,0.03,0.96,0.96,"1,000.20",13,0.23,"25,919.28",403.28,390.28,962.3286419921900000000000000,901.2857973768050000000000000,1993.7907066303400000000000000,153.6224007561440000000000000,2.2121625708884700000000000,0.0000000173606410211386000,823.1435463349750000000000000,0.0542455611441814000000000,,,,2,1,1,1,Splash,0.01,0.03,0.14,0.06,0.76
Splash,Splash,5.09,0.10,0.03,0.00,52,122.90,189,M,Y,N,SD,,147.50,80,16,0.00,0.00,0.05,0.08,0.88,0.88,"1,000.20",13,0.23,"25,919.28",305.71,292.71,553.0053944859910000000000000,506.9732610244530000000000000,1993.7907066303400000000000000,153.6224007561440000000000000,3.9327334593572800000000000,0.0000000402808417773568000,1097.5247284466300000000000000,0.0406841708581361000000000,,,,2,1,1,1,Splash,0.01,0.02,0.08,0.04,0.86
Splash,Splash,5.09,0.15,0.01,0.00,52,32.10,72,M,N,N,DIS,,38.50,81,1,0.00,0.00,0.05,0.09,0.86,0.86,"1,000.30",33,0.49,"25,921.87","5,021.78","4,988.78",23157.2510994591000000000000000,22853.9009649136000000000000000,785.5112301766990000000000000,13.7483965014577000000000000,0.0343709912536443000000000,0.0000000003636473492977930,19.2662970564468000000000000,1.4547151006213300000000000,,,,5,1,0.97,1,Splash,0.10,0.17,0.36,0.08,0.29
Splash,Splash,5.09,0.15,0.01,0.00,52,35,97,M,N,N,Ring,,42,82,2,0.00,0.00,0.15,0.19,0.66,0.66,"1,000.30",33,0.49,"25,921.87","1,695.93","1,662.93",2641.1057076166600000000000000,2539.3223294348500000000000000,785.5112301766990000000000000,13.7483965014577000000000000,0.3093389212827990000000000,0.0000000095653948515459600,57.7988911693404000000000000,0.4849050335404430000000000,,,,5,1,0.49,0,Splash,0.07,0.13,0.34,0.09,0.37
Intact Sheet,Intact Sheet,5.09,0.15,0.01,0.00,52,40.80,N,N,N,N,Stick,Higher Stick,49,83,3,0.00,0.01,0.50,0.24,0.25,0.50,"1,000.30",33,0.49,"25,921.87",864.46,831.46,686.2222714496200000000000000,634.8305823587110000000000000,785.5112301766990000000000000,13.7483965014577000000000000,1.2373556851312000000000000,0.0000000736298426591647000,115.5977823386810000000000000,0.2424525167702210000000000,,,,5,0,0.00,0,Broken or Intact Sheet,0.04,0.09,0.28,0.09,0.49
Intact Sheet,Intact Sheet,5.09,0.15,0.01,0.00,52,41.30,N,N,N,N,Stick,,49.60,84,4,0.00,0.03,0.74,0.13,0.09,0.74,"1,000.30",33,0.49,"25,921.87",656.60,623.60,395.8859693949570000000000000,357.0922025767750000000000000,785.5112301766990000000000000,13.7483965014577000000000000,2.1997434402332400000000000,0.0000001701716884225390000,154.1303764515740000000000000,0.1818393875776660000000000,,,,5,0,0.00,0,Broken or Intact Sheet,0.03,0.07,0.24,0.08,0.57
Splash,Splash,5.09,0.15,0.02,0.00,52,42.50,73,M,N,N,DIS,,51,85,5,0.000004,0.00,0.02,0.03,0.96,0.96,"1,000.30",33,0.49,"25,921.87","5,021.78","4,988.78",23157.2510994591000000000000000,22853.9009649136000000000000000,785.5112301766990000000000000,30.9338921282799000000000000,0.0343709912536443000000000,0.0000000003636473492977930,28.8994455846702000000000000,0.9698100670808860000000000,,,,1,1,1.00,1,Splash,0.10,0.17,0.36,0.08,0.29
Splash,Splash,5.09,0.15,0.02,0.00,52,48.90,97,M,N,N,DIS,,58.70,86,6,0.00,0.00,0.05,0.08,0.87,0.87,"1,000.30",33,0.49,"25,921.87","1,695.93","1,662.93",2641.1057076166600000000000000,2539.3223294348500000000000000,785.5112301766990000000000000,30.9338921282799000000000000,0.3093389212827990000000000,0.0000000095653948515459600,86.6983367540106000000000000,0.3232700223602950000000000,,,,1,1,0.99,1,Splash,0.07,0.13,0.34,0.09,0.37
Splash,Splash,5.09,0.15,0.02,0.00,52,53.60,121,M,N,N,Ring,,64.30,87,7,0.00,0.00,0.23,0.23,0.54,0.54,"1,000.30",33,0.49,"25,921.87",864.46,831.46,686.2222714496200000000000000,634.8305823587110000000000000,785.5112301766990000000000000,30.9338921282799000000000000,1.2373556851312000000000000,0.0000000736298426591647000,173.3966735080210000000000000,0.1616350111801480000000000,,,,1,1,0.29,0,Splash,0.04,0.09,0.28,0.09,0.49
Intact Sheet,Intact Sheet,5.09,0.15,0.02,0.00,52,56.50,N,N,N,N,Stick,Castle,67.80,88,8,0.00,0.01,0.48,0.24,0.26,0.48,"1,000.30",33,0.49,"25,921.87",656.60,623.60,395.8859693949570000000000000,357.0922025767750000000000000,785.5112301766990000000000000,30.9338921282799000000000000,2.1997434402332400000000000,0.0000001701716884225390000,231.1955646773610000000000000,0.1212262583851110000000000,,,,1,0,0.01,0,Broken or Intact Sheet,0.03,0.07,0.24,0.08,0.57
Splash,Splash,5.09,0.15,0.02,0.00,52,56,76,M,N,N,DIS,,67.20,89,9,0.000001,0.00,0.00,0.01,0.99,0.99,"1,000.30",33,0.49,"25,921.87","5,021.78","4,988.78",23157.2510994591000000000000000,22853.9009649136000000000000000,785.5112301766990000000000000,54.9935860058309000000000000,0.0343709912536443000000000,0.0000000003636473492977930,38.5325941128936000000000000,0.7273575503106640000000000,,,,2,1,1.00,1,Splash,0.10,0.17,0.36,0.08,0.29
Splash,Splash,5.09,0.15,0.02,0.00,52,63,90,M,N,N,DIS,,75.60,90,10,0.000004,0.00,0.01,0.03,0.96,0.96,"1,000.30",33,0.49,"25,921.87","1,695.93","1,662.93",2641.1057076166600000000000000,2539.3223294348500000000000000,785.5112301766990000000000000,54.9935860058309000000000000,0.3093389212827990000000000,0.0000000095653948515459600,115.5977823386810000000000000,0.2424525167702210000000000,,,,2,1,1.00,1,Splash,0.07,0.13,0.34,0.09,0.37
Splash,Splash,5.09,0.15,0.02,0.00,52,68.10,135,M,N,N,Ring,,81.70,91,11,0.00,0.00,0.08,0.12,0.80,0.80,"1,000.30",33,0.49,"25,921.87",864.46,831.46,686.2222714496200000000000000,634.8305823587110000000000000,785.5112301766990000000000000,54.9935860058309000000000000,1.2373556851312000000000000,0.0000000736298426591647000,231.1955646773610000000000000,0.1212262583851110000000000,,,,2,1,0.96,1,Splash,0.04,0.09,0.28,0.09,0.49
Splash,Splash,5.09,0.15,0.02,0.00,52,74.50,129,M,N,N,Fall,Droplet on edge,89.40,92,12,0.00,0.00,0.21,0.23,0.56,0.56,"1,000.30",33,0.49,"25,921.87",656.60,623.60,395.8859693949570000000000000,357.0922025767750000000000000,785.5112301766990000000000000,54.9935860058309000000000000,2.1997434402332400000000000,0.0000001701716884225390000,308.2607529031490000000000000,0.0909196937888330000000000,,,,2,1,0.27,0,Splash,0.03,0.07,0.24,0.08,0.57
Splash,Splash,5.09,0.15,0.03,0.00,52,65.80,89,T,N,N,DIS,,79,93,13,0.000000,0.00,0.00,0.00,1.00,1.00,"1,000.30",33,0.49,"25,921.87","5,021.78","4,988.78",23157.2510994591000000000000000,22853.9009649136000000000000000,785.5112301766990000000000000,85.9274781341108000000000000,0.0343709912536443000000000,0.0000000003636473492977930,48.1657426411170000000000000,0.5818860402485320000000000,,,,2,1,1.00,1,Splash,0.10,0.17,0.36,0.08,0.29
Splash,Splash,5.09,0.15,0.03,0.00,52,74.60,97,M,N,N,DIS,,89.50,94,14,0.000001,0.00,0.00,0.01,0.99,0.99,"1,000.30",33,0.49,"25,921.87","1,695.93","1,662.93",2641.1057076166600000000000000,2539.3223294348500000000000000,785.5112301766990000000000000,85.9274781341108000000000000,0.3093389212827990000000000,0.0000000095653948515459600,144.4972279233510000000000000,0.1939620134161770000000000,,,,2,1,1.00,1,Splash,0.07,0.13,0.34,0.09,0.37
Splash,Splash,5.09,0.15,0.03,0.00,52,81.60,137,M,N,N,Ring,,97.90,95,15,0.000006,0.00,0.02,0.04,0.93,0.93,"1,000.30",33,0.49,"25,921.87",864.46,831.46,686.2222714496200000000000000,634.8305823587110000000000000,785.5112301766990000000000000,85.9274781341108000000000000,1.2373556851312000000000000,0.0000000736298426591647000,288.9944558467020000000000000,0.0969810067080886000000000,,,,2,1,1.00,1,Splash,0.04,0.09,0.28,0.09,0.49
Splash,Splash,5.09,0.15,0.03,0.00,52,86.80,132,M,Y,N,Ring,,104.20,96,16,0.00,0.00,0.07,0.11,0.82,0.82,"1,000.30",33,0.49,"25,921.87",656.60,623.60,395.8859693949570000000000000,357.0922025767750000000000000,785.5112301766990000000000000,85.9274781341108000000000000,2.1997434402332400000000000,0.0000001701716884225390000,385.3259411289360000000000000,0.0727357550310664000000000,,,,2,1,0.94,1,Splash,0.03,0.07,0.24,0.08,0.57
Splash,Splash,5.09,0.25,0.01,0.00,52,26.80,67,M,N,N,DIS,,32.20,97,1,0.00,0.00,0.12,0.17,0.71,0.71,"1,000.50",64,0.96,"25,927.05","9,837.93","9,773.93",23629.1220702289000000000000000,23322.6867302289000000000000000,405.1102096110070000000000000,6.9479166666666700000000000,0.0173697916666667000000000,0.0000000006840532903230350,6.9921574534509500000000000,2.8785607196401800000000000,,,,1,1,0.16,0,Splash,0.11,0.18,0.36,0.08,0.28
Intact Sheet,Intact Sheet,5.09,0.25,0.01,0.00,52,30.80,N,N,N,N,Stuck,,37,98,2,0.00,0.00,0.31,0.26,0.43,0.43,"1,000.50",64,0.96,"25,927.05","3,321.98","3,257.98",2694.2214166921000000000000000,2591.4096366921000000000000000,405.1102096110070000000000000,6.9479166666666700000000000,0.1563281250000000000000000,0.0000000179980516071652000,20.9764723603528000000000000,0.9595202398800600000000000,,,,1,0,0.03,0,Broken or Intact Sheet,0.09,0.16,0.36,0.08,0.31
Intact Sheet,Intact Sheet,5.09,0.25,0.01,0.00,52,35,N,N,N,N,Stuck,,42,99,3,0.00,0.02,0.70,0.16,0.12,0.70,"1,000.50",64,0.96,"25,927.05","1,692.99","1,628.99",699.7582991730250000000000000,647.8524091730250000000000000,405.1102096110070000000000000,6.9479166666666700000000000,0.6253125000000000000000000,0.0000001385928145648590000,41.9529447207057000000000000,0.4797601199400300000000000,,,,1,0,0.00,0,Broken or Intact Sheet,0.07,0.13,0.34,0.09,0.37
Crater,Crater,5.09,0.25,0.01,0.00,52,33.20,N,N,N,N,Stuck,,39.80,100,4,0.00,0.07,0.82,0.07,0.04,0.82,"1,000.50",64,0.96,"25,927.05","1,285.74","1,221.74",403.5963976598260000000000000,364.4169801598260000000000000,405.1102096110070000000000000,6.9479166666666700000000000,1.1116666666666700000000000,0.0000003203909409163410000,55.9372596276076000000000000,0.3598200899550220000000000,,,,1,0,0.00,0,Crater,0.06,0.12,0.32,0.09,0.41
Splash,Splash,5.09,0.25,0.02,0.00,52,40.20,73,M,N,N,DIS,,48.20,101,5,0.00,0.00,0.04,0.06,0.90,0.90,"1,000.50",64,0.96,"25,927.05","9,837.93","9,773.93",23629.1220702289000000000000000,23322.6867302289000000000000000,405.1102096110070000000000000,15.6328125000000000000000000,0.0173697916666667000000000,0.0000000006840532903230350,10.4882361801764000000000000,1.9190404797601200000000000,,,,2,1,0.69,1,Splash,0.11,0.18,0.36,0.08,0.28
Broken Sheet,Broken Sheet,5.09,0.25,0.02,0.00,52,40.20,99,N,N,N,Stuck,,48.20,102,6,0.00,0.00,0.11,0.16,0.73,0.73,"1,000.50",64,0.96,"25,927.05","3,321.98","3,257.98",2694.2214166921000000000000000,2591.4096366921000000000000000,405.1102096110070000000000000,15.6328125000000000000000000,0.1563281250000000000000000,0.0000000179980516071652000,31.4647085405293000000000000,0.6396801599200400000000000,,,,2,0,0.28,0,Broken or Intact Sheet,0.09,0.16,0.36,0.08,0.31
Intact Sheet,Intact Sheet,5.09,0.25,0.02,0.00,52,43.10,N,N,N,N,Stuck,,51.70,103,7,0.00,0.01,0.42,0.26,0.32,0.42,"1,000.50",64,0.96,"25,927.05","1,692.99","1,628.99",699.7582991730250000000000000,647.8524091730250000000000000,405.1102096110070000000000000,15.6328125000000000000000000,0.6253125000000000000000000,0.0000001385928145648590000,62.9294170810585000000000000,0.3198400799600200000000000,,,,2,0,0.02,0,Broken or Intact Sheet,0.07,0.13,0.34,0.09,0.37
Intact Sheet,Intact Sheet,5.09,0.25,0.02,0.00,52,49.50,N,N,N,N,Stuck,,59.40,104,8,0.00,0.02,0.69,0.17,0.12,0.69,"1,000.50",64,0.96,"25,927.05","1,285.74","1,221.74",403.5963976598260000000000000,364.4169801598260000000000000,405.1102096110070000000000000,15.6328125000000000000000000,1.1116666666666700000000000,0.0000003203909409163410000,83.9058894414114000000000000,0.2398800599700150000000000,,,,2,0,0.00,0,Broken or Intact Sheet,0.06,0.12,0.32,0.09,0.41
Splash,Splash,5.09,0.25,0.02,0.00,52,47.80,79,M,N,N,DIS,,57.30,105,9,0.000003,0.00,0.01,0.02,0.97,0.97,"1,000.50",64,0.96,"25,927.05","9,837.93","9,773.93",23629.1220702289000000000000000,23322.6867302289000000000000000,405.1102096110070000000000000,27.7916666666667000000000000,0.0173697916666667000000000,0.0000000006840532903230350,13.9843149069019000000000000,1.4392803598200900000000000,,,,3,1,0.95,1,Splash,0.11,0.18,0.36,0.08,0.28
Splash,Splash,5.09,0.25,0.02,0.00,52,53.60,80,M,N,N,SD,,64.30,106,10,0.000009,0.00,0.03,0.06,0.90,0.90,"1,000.50",64,0.96,"25,927.05","3,321.98","3,257.98",2694.2214166921000000000000000,2591.4096366921000000000000000,405.1102096110070000000000000,27.7916666666667000000000000,0.1563281250000000000000000,0.0000000179980516071652000,41.9529447207057000000000000,0.4797601199400300000000000,,,,3,1,0.76,1,Splash,0.09,0.16,0.36,0.08,0.31
Intact Sheet,Intact Sheet,5.09,0.25,0.02,0.00,52,55.90,N,N,N,N,Stuck,,67.10,107,11,0.00,0.00,0.17,0.21,0.62,0.62,"1,000.50",64,0.96,"25,927.05","1,692.99","1,628.99",699.7582991730250000000000000,647.8524091730250000000000000,405.1102096110070000000000000,27.7916666666667000000000000,0.6253125000000000000000000,0.0000001385928145648590000,83.9058894414114000000000000,0.2398800599700150000000000,,,,3,0,0.15,0,Broken or Intact Sheet,0.07,0.13,0.34,0.09,0.37
