newcatc,newcat,velocity,weightpercentw,diametermm,thicknessmm,heightin,craterdiameterfromouteredgesmm,whenbreakupstartsframe,breakuplocation,inflectionpoint,retraction,category,comments,craterdiameterfromouteredgesmmno,rownum,blocknum,pcat1,pcat2,pcat3,pcat4,pcat5,pcatmax,rho,sigma_y,nu,sigma_i,sigma_f,sigma_v,pi1,pi2,pi3,pi4,pi5,pi6,pi7,pi8,,,,_clus_2,splash,predsplash,issplash,newcat1,aaa1,aaa2,aaa3,aaa4,aaa5
Splash,Splash,6.35,0.10,0.03,0.00,81,96.20,91,B,N,N,BUP,Wide,115.40,13,13,0.000000,0.000001,0.00,0.00,1.00,1.00,"1,000.20",13,0.23,"40,374.26","2,935.58","2,922.58",50991.9621096314000000000000000,50541.3341117852000000000000000,3105.7124334683300000000000000,153.6224007561440000000000000,0.0614489603024575000000000,0.0000000000280875387814127,171.2242071332440000000000000,0.3254733668650890000000000,,,,2,1,1,1,Splash,0.08,0.14,0.34,0.09,0.36
Splash,Splash,6.35,0.10,0.03,0.00,81,101.50,105,B,N,N,BUP,BAD - Half of Droplet Off Surface,121.80,14,14,0.000000,0.000003,0.00,0.00,1.00,1.00,"1,000.20",13,0.23,"40,374.26",987.19,974.19,5766.5797894804100000000000000,5615.7037901983600000000000000,3105.7124334683300000000000000,153.6224007561440000000000000,0.5530406427221170000000000,0.0000000007451065097065000,513.6726213997330000000000000,0.1084911222883630000000000,,,,2,1,1,1,Splash,0.03,0.06,0.24,0.08,0.58
Splash,Splash,6.35,0.10,0.03,0.00,81,113.30,146,M,N,N,SD,BAD - Half of Droplet Off Surface,136,15,15,0.000000,0.00,0.00,0.00,0.99,0.99,"1,000.20",13,0.23,"40,374.26",500.10,487.10,1479.8639471906200000000000000,1403.9259475495900000000000000,3105.7124334683300000000000000,153.6224007561440000000000000,2.2121625708884700000000000,0.0000000058069069768754200,1027.3452427994700000000000000,0.0542455611441814000000000,,,,2,1,1,1,Splash,0.01,0.02,0.09,0.04,0.85
Splash,Splash,6.35,0.10,0.03,0.00,81,109.80,587,M,Y,N,SD,,131.70,16,16,0.000002,0.00,0.01,0.01,0.98,0.98,"1,000.20",13,0.23,"40,374.26",378.32,365.32,846.9118452274130000000000000,789.7083454966440000000000000,3105.7124334683300000000000000,153.6224007561440000000000000,3.9327334593572800000000000,0.0000000135290464656095000,1369.7936570659600000000000000,0.0406841708581361000000000,,,,2,1,1,1,Splash,0.00,0.01,0.04,0.02,0.93
Splash,Splash,6.35,0.15,0.01,0.00,81,33.60,54,T,N,N,DIS,,40.30,17,1,0.000002,0.00,0.01,0.01,0.98,0.98,"1,000.30",33,0.49,"40,378.30","6,259.37","6,226.37",35977.7013570793000000000000000,35599.3455802309000000000000000,1223.5847955735800000000000000,13.7483965014577000000000000,0.0343709912536443000000000,0.0000000001203958475967940,24.0457921530581000000000000,1.4547151006213300000000000,,,,5,1,1.00,1,Splash,0.10,0.16,0.36,0.08,0.30
Splash,Splash,6.35,0.15,0.01,0.00,81,39.50,83,N,N,N,DIS,,47.40,18,2,0.000006,0.00,0.02,0.04,0.94,0.94,"1,000.30",33,0.49,"40,378.30","2,108.46","2,075.46",4082.2681011973700000000000000,3955.4828422478700000000000000,1223.5847955735800000000000000,13.7483965014577000000000000,0.3093389212827990000000000,0.0000000031832053226975100,72.1373764591743000000000000,0.4849050335404430000000000,,,,5,1,0.98,1,Splash,0.06,0.12,0.33,0.09,0.40
Broken Sheet,Broken Sheet,6.35,0.15,0.01,0.00,81,44.80,129,M,N,Sheet,Stick,,53.80,19,3,0.00,0.00,0.11,0.16,0.73,0.73,"1,000.30",33,0.49,"40,378.30","1,070.73","1,037.73",1052.7633400367200000000000000,988.8707105619690000000000000,1223.5847955735800000000000000,13.7483965014577000000000000,1.2373556851312000000000000,0.0000000246868352158929000,144.2747529183490000000000000,0.2424525167702210000000000,,,,5,0,0.07,0,Broken or Intact Sheet,0.03,0.07,0.25,0.09,0.56
Intact Sheet,Intact Sheet,6.35,0.15,0.01,0.00,81,47.90,N,N,N,N,Stick,Castle,57.50,20,4,0.00,0.00,0.29,0.25,0.45,0.45,"1,000.30",33,0.49,"40,378.30",811.30,778.30,604.4092467971680000000000000,556.2397746911070000000000000,1223.5847955735800000000000000,13.7483965014577000000000000,2.1997434402332400000000000,0.0000000573328865820417000,192.3663372244650000000000000,0.1818393875776660000000000,,,,5,0,0.00,0,Broken or Intact Sheet,0.02,0.05,0.20,0.08,0.66
Splash,Splash,6.35,0.15,0.02,0.00,81,46,55,T,N,N,DIS,,55.20,21,5,0.000000,0.00,0.00,0.00,0.99,0.99,"1,000.30",33,0.49,"40,378.30","6,259.37","6,226.37",35977.7013570793000000000000000,35599.3455802309000000000000000,1223.5847955735800000000000000,30.9338921282799000000000000,0.0343709912536443000000000,0.0000000001203958475967940,36.0686882295872000000000000,0.9698100670808860000000000,,,,1,1,1.00,1,Splash,0.10,0.16,0.36,0.08,0.30
Splash,Splash,6.35,0.15,0.02,0.00,81,51.90,84,M,N,N,DIS,"Droplet on edge, Bad test",62.30,22,6,0.000002,0.00,0.01,0.01,0.98,0.98,"1,000.30",33,0.49,"40,378.30","2,108.46","2,075.46",4082.2681011973700000000000000,3955.4828422478700000000000000,1223.5847955735800000000000000,30.9338921282799000000000000,0.3093389212827990000000000,0.0000000031832053226975100,108.2060646887610000000000000,0.3232700223602950000000000,,,,1,1,1.00,1,Splash,0.06,0.12,0.33,0.09,0.40
